Test & MatrixDimension & CrossoverPoint(n0) & Time(ms) & Algorithm
1 & 8 & 8 & 5 & Conventional
2 & 16 & 16 & 4 & Conventional
3 & 32 & 32 & 9 & Conventional
4 & 64 & 64 & 20 & Conventional
5 & 128 & 128 & 42 & Conventional
6 & 256 & 256 & 143 & Conventional
7 & 512 & 512 & 459 & Conventional
8 & 1024 & 1024 & 2311 & Conventional
1 & 8 & 1 & 6 & Strassens
2 & 16 & 1 & 9 & Strassens
3 & 32 & 1 & 60 & Strassens
4 & 64 & 1 & 277 & Strassens
5 & 128 & 1 & 770 & Strassens
6 & 256 & 1 & 4219 & Strassens
7 & 512 & 1 & 28393 & Strassens
8 & 1024 & 1 & 194229 & Strassens
17 & 8 & 2 & 2 & Mix
18 & 16 & 4 & 3 & Mix
19 & 32 & 8 & 2 & Mix
20 & 64 & 16 & 4 & Mix
21 & 128 & 32 & 10 & Mix
22 & 256 & 64 & 33 & Mix
23 & 512 & 128 & 169 & Mix
24 & 1024 & 256 & 1272 & Mix
25 & 8 & 4 & 1 & Mix
26 & 16 & 8 & 1 & Mix
27 & 32 & 16 & 1 & Mix
28 & 64 & 32 & 2 & Mix
29 & 128 & 64 & 6 & Mix
30 & 256 & 128 & 26 & Mix
31 & 512 & 256 & 199 & Mix
32 & 1024 & 512 & 1602 & Mix
33 & 8 & 6 & 1 & Mix
34 & 16 & 12 & 1 & Mix
35 & 32 & 24 & 2 & Mix
36 & 64 & 48 & 6 & Mix
37 & 128 & 96 & 11 & Mix
38 & 256 & 192 & 31 & Mix
39 & 512 & 384 & 191 & Mix
40 & 1024 & 768 & 1539 & Mix
